Judul,Kata_Kunci,Tempat
Pengaruh Gerakan Literasi Sekolah Terhadap Minat Membaca Cerita Jataka Di SMA Bhakti Karya Kecamatan Kaloran Kabupaten Temanggung,"Gerakan, Literasi, Membaca, Jataka",SMA Bhakti Karya Kecamatan Kaloran Kabupaten Temanggung
Etika Komunikasi Generasi Digital Native Pada Penggunaan Media Sosial Whatsapp,"Etika Komunikasi, Mahasiswa, Media Sosial WhatsApp",
Pengaruh Kepribadian Terhadap Kemampuan Public Speaking Mahasiswa STAB Negeri Raden Wijaya Wonogiri Jawa Tengah,"Kepribadian, Kemampuan, Public Speaking",STAB Negeri Raden Wijaya Wonogiri
Evaluasi Pembelajaran Pendidikan Kewarganegaraan Dalam Pembentukan Karakter Di Kelas 5 SD Negeri Jumo Di Masa Transisi,"Pendidikan Kewarganegaraan, evaluasi, karakter",SD Negeri Jumo
Pengembangan Media Pembelajaran Berbasis Classpoint Pada Mata Pelajaran Pendidikan Agama Buddha Materi Berdana Sekolah Dasar Di Desa Jatimulyo Kulon Progo,"Media Pembelajaran, ClassPoint, Berdana",Desa Jatimulyo Kulon Progo
Pengaruh Penggunaan Media Pembelajaran Berbasis Power Point Terhadap Motivasi Belajar Siswa Agama Buddha Di SDN Sumogawe 03 Kecamatan Getasan Kabupaten Semarang,"Media Power Point, Motivasi Belajar Siswa",SDN Sumogawe 03 Kecamatan Getasan Kabupaten Semarang
Analisis Komunikasi Interpersonal Antar Mahasiswa Lintas Agama Dalam Menjaga Hubungan Pertemanan Untuk Mewujudkan Moderasi Beragama (Studi Deskriptif Pada Mahasiswa STAB Negeri Raden Wijaya Wonogiri Jawa Tengah Angkatan 2020),"Komunikasi Interpersonal, Hubungan Pertemanan, Mahasiswa Lintas Agama, Moderasi Beragama",
Kemampuan Guru Pendidikan Agama Buddha Dalam Implementasi Kurikulum Merdeka Belajar Di SMK Negeri 2 Pengasih Kabupaten Kulon Progo,"Kurikulum Merdeka, Kemampuan Guru, Pendidikan Agama",SMK Negeri 2 Pengasih Kabupaten Kulon Progo
Pengembangan Evaluasi Pembelajaran Berbasis Aplikasi Nearpod di Sekolah Menengah Pertama Kabupaten Blitar,"Pengembangan, Evaluasi Pembelajaran, Aplikasi Nearpod",
Analisis Pemanfaatan Media Power Point Pada Mata Pelajaran IPAS Terhadap Motivasi Belajar Siswa (Tahun 2022-2023),"Media Power Point, Motivasi Belajar",
